"name";"strength_total";"closeness_all";"centrality";"prestige";"betweenness";"pagerank";"triangles";"degree";"finess";"experimentateur";"status";"section";"reg23_label";"annee";"Count"
"170000103_MCO";10;0.428571428571429;0.259259259259259;0.151079136690647;0.407142857142857;0.0458912847543556;1;10;"170000103";0;"MCO";"structureet";"Poitou-Charente";2015;5
"170000152_MCO";12;0.375;0.28;0.124260355029586;0.141666666666667;0.0654081126225326;1;7;"170000152";0;"MCO";"structureet";"Poitou-Charente";2015;5
"170780563_MCO";5;0.265822784810127;0.175;0.126506024096386;0.0785714285714286;0.0258098113148656;0;5;"170780563";0;"MCO";"structureet";"Poitou-Charente";2015;5
"170780613_MCO";4;0.39622641509434;0.276315789473684;0.138157894736842;0.138095238095238;0.0215892331454616;1;4;"170780613";0;"MCO";"structureet";"Poitou-Charente";2015;5
"170780621_MCO";2;0.304347826086957;0.21;0.135483870967742;0;0.0144688485141331;0;2;"170780621";0;"MCO";"structureet";"Poitou-Charente";2015;5
"170780647_MCO";3;0.35;0.214285714285714;0.135483870967742;0.00952380952380952;0.0144688485141331;0;3;"170780647";0;"MCO";"structureet";"Poitou-Charente";2015;5
"170780662_MCO";4;0.147887323943662;0.100961538461538;0.0454545454545455;0;0.0079675831739327;0;1;"170780662";0;"MCO";"structureet";"Poitou-Charente";2015;5
"180000010_MCO";12;0.5;0.214285714285714;0.264705882352941;0.4375;0.169221253392292;0;8;"180000010";0;"MCO";"structureet";"Centre";2015;5
"180000358_MCO";6;0.473684210526316;0.195652173913043;0.257142857142857;0.194444444444444;0.0894982491052556;0;4;"180000358";0;"MCO";"structureet";"Centre";2015;5
"180004145_MCO";13;0.375;0.333333333333333;0.15;0.243055555555556;0.134391949729982;0;5;"180004145";0;"MCO";"structureet";"Centre";2015;5
"190000018_MCO";17;0.2;0.147058823529412;0.136986301369863;0.166666666666667;0.12165721056669;1;7;"190000018";0;"MCO";"structureet";"Limousin";2015;5
"190000224_MCO";16;0.222222222222222;0.181818181818182;0.120481927710843;0.177777777777778;0.109395900323839;1;5;"190000224";0;"MCO";"structureet";"Limousin";2015;5
"210780789_MCO";7;0.352112676056338;0.18796992481203;0.120192307692308;0.0320833333333333;0.0350643562132572;1;7;"210780789";0;"MCO";"structureet";"Bourgogne";2015;5
